BOTTLE,20240810CCHHYDRO
320620180309  ,S04P       ,95      ,  1,11         ,11         ,2,20180427,0726, -67.9997,-109.5037,     4165,   1758.2,0.9898706782773764035,34.717384011784759,2,  34.7172,2,201.45246664428339,2, 201.4024,2,    201.1,2,    118.2,2,    32.29,2,     0.00,2,     2.19,2,    0.119,2,    0.068,2,   0.0900,2,   2265.1,2,  2364.22,2,   7.5992,2,    24.93,     -999,9,     -999,9,   0.9936,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.654,1,    0.132,1,  18.9800,2,     -999,9,20180427,0821, -67.9987,-109.4550,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,95      ,  1,10         ,10         ,2,20180427,0726, -67.9997,-109.5037,     4165,   1889.5,0.9329149746955527345,34.715205583194233,2,  34.7149,2,202.47996560944023,2, 202.5037,2,    202.5,2,    121.0,2,    32.35,2,     0.00,2,     2.19,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   0.9364,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.653,1,    0.128,1,     -999,9,     -999,9,20180427,0819, -67.9987,-109.4572,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,95      ,  1,9          ,9          ,2,20180427,0726, -67.9997,-109.5037,     4165,   2115.0,0.8402002667330376040,34.711280806675532,2,  34.7109,2,204.45181500513829,2, 204.2025,2,    204.5,2,    124.0,2,    32.45,2,     0.00,2,     2.21,2,    0.149,2,    0.082,2,   0.0800,2,   2263.0,2,  2364.88,2,   7.5995,6,    24.92,     -999,9,     -999,9,   0.8425,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.654,1,    0.126,1,  18.9000,2,     -999,9,20180427,0814, -67.9985,-109.4613,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,95      ,  1,8          ,8          ,2,20180427,0726, -67.9997,-109.5037,     4165,   2368.9,0.7432627100044256752,34.708392936749469,2,  34.7072,2,206.60512197793227,2, 206.1983,2,    205.3,2,    127.2,2,    32.57,2,     0.00,2,     2.21,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   0.7454,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.654,1,    0.125,1,     -999,9,     -999,9,20180427,0810, -67.9982,-109.4666,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,95      ,  1,7          ,7          ,2,20180427,0726, -67.9997,-109.5037,     4165,   2625.8,0.6526551467792695016,34.705925259832959,2,  34.7056,2,209.17821540536193,2, 207.8986,2,    208.5,2,    129.0,2,    32.70,2,     0.00,2,     2.21,2,    0.169,2,    0.090,2,   0.0000,2,   2265.7,2,  2365.84,2,   7.5972,2,    24.92,     -999,9,     -999,9,   0.6532,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.060,1,    4.654,1,    0.129,1,  18.8300,2,     -999,9,20180427,0805, -67.9984,-109.4726,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,95      ,  1,6          ,6          ,2,20180427,0726, -67.9997,-109.5037,     4165,   2877.1,0.5518909410853394260,34.703890005424604,2,  34.7029,2,208.76004631357534,2, 209.7984,2,    210.3,2,    132.5,2,    32.79,2,     0.00,2,     2.22,2,    0.181,2,    0.095,2,   0.0300,2,   2261.0,3,  2365.76,2,   7.5975,2,    24.91,     -999,9,     -999,9,   0.5517,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.653,1,    0.127,1,  19.3900,2,     -999,9,20180427,0757, -67.9987,-109.4814,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,95      ,  1,5          ,5          ,2,20180427,0726, -67.9997,-109.5037,     4165,   3146.0,0.4985877603174717621,34.702879596927716,2,  34.7013,2,211.56479618786872,2, 210.8950,2,    211.0,2,    135.3,2,    32.85,2,     0.00,2,     2.23,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   0.4985,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.653,1,    0.127,1,     -999,9,     -999,9,20180427,0751, -67.9989,-109.4868,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,95      ,  1,4          ,4          ,2,20180427,0726, -67.9997,-109.5037,     4165,   3459.1,0.4588924772844678035,34.702315337231987,3,  34.7002,2,212.03359478545070,2, 211.8970,2,    211.6,2,    138.8,2,    32.91,2,     0.00,2,     2.24,2,    0.195,2,    0.105,2,   0.0000,2,   2259.5,3,  2366.83,2,   7.5967,2,    24.92,     -999,9,     -999,9,   0.4588,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.652,1,    0.127,1,  19.0100,2,     -999,9,20180427,0744, -67.9991,-109.4931,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,95      ,  1,3          ,3          ,2,20180427,0726, -67.9997,-109.5037,     4165,   3771.8,0.4321807324648364035,34.701770928703283,2,  34.7013,2,213.03146147612566,2, 212.4958,2,    212.3,2,    141.5,2,    32.98,2,     0.00,2,     2.25,2,    0.219,2,    0.109,2,   0.0000,2,   2269.7,3,  2368.08,2,   7.5958,2,    24.91,     -999,9,     -999,9,   0.4318,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.060,1,    4.651,1,    0.129,1,  19.2700,2,     -999,9,20180427,0738, -67.9991,-109.4975,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,95      ,  1,2          ,2          ,2,20180427,0726, -67.9997,-109.5037,     4165,   4050.9,0.3993475829319325099,34.700825695448792,2,  34.7000,2,213.36192749387334,2, 213.8979,2,    214.0,2,    142.3,2,    33.02,2,     0.00,2,     2.24,2,    0.294,2,    0.154,2,   0.0800,2,   2263.0,3,  2367.26,2,   7.5944,2,    24.93,     -999,9,     -999,9,   0.3993,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.649,1,    0.131,1,  19.0300,2,     -999,9,20180427,0731, -67.9993,-109.5005,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,95      ,  1,1          ,1          ,2,20180427,0726, -67.9997,-109.5037,     4165,   4240.3,0.3781378472593098783,34.699776031187049,2,  34.6992,2,213.84238057558701,2, 213.9007,2,    213.9,2,    146.4,2,    33.08,2,     0.00,2,     2.25,2,    0.363,2,    0.179,2,   0.0200,2,   2266.3,6,  2366.72,2,   7.5946,2,    24.91,     -999,9,     -999,9,   0.3781,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.643,1,    0.139,1,  19.0800,2,     -999,9,20180427,0726, -67.9997,-109.5037,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,96      ,  1,36         ,36         ,2,20180428,0617, -67.9999,-107.3127,     4248,      9.3,-1.8474770596685266000,33.748602115213764,2,  33.7427,2,343.02953484683587,3, 344.3032,2,    348.4,2,     42.2,2,    26.44,2,     0.19,2,     1.84,2,    6.417,2,    3.287,2,   4.2300,2,   2169.0,6,  2284.65,2,   7.6549,2,    25.15,     46.3,2,     -999,9,  -1.8435,2,     -999,9,     -999,9,     -999,     -999,9,    28.50,2,     -999,1,     -999,9,    0.274,1,    4.544,1,    0.242,1,  16.3900,2,     -999,9,20180428,0820, -68.0004,-107.3128,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,96      ,  1,35         ,35         ,2,20180428,0617, -67.9999,-107.3127,     4248,     19.7,-1.8327666115067045016,33.752223128505115,2,  33.7448,2,343.49612664944260,3, 343.9991,2,    348.2,2,     42.6,2,    26.46,2,     0.19,2,     1.86,2,     -999,9,     -999,9,     -999,9,   2169.1,2,  2283.82,2,   7.6549,2,    25.12,     47.7,2,     -999,9,  -1.8368,2,     -999,9,     -999,9,     -999,     -999,9,    28.00,2,     -999,1,     -999,9,    0.265,1,    4.547,1,    0.243,1,     -999,9,     -999,9,20180428,0820, -68.0004,-107.3128,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,96      ,  1,34         ,34         ,2,20180428,0617, -67.9999,-107.3127,     4248,     39.9,-1.8309125251213955732,33.752776030083780,2,  33.7479,2,344.58480588506814,3, 343.9016,2,    348.2,2,     42.6,2,    26.49,2,     0.19,2,     1.86,2,     -999,9,     -999,9,     -999,9,   2169.4,2,  2282.91,2,   7.6552,2,    25.14,     45.9,2,     -999,9,  -1.8294,2,     -999,9,     -999,9,     -999,     -999,9,    28.00,2,     -999,1,     -999,9,    0.268,1,    4.546,1,    0.249,1,     -999,9,     -999,9,20180428,0819, -68.0004,-107.3128,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,96      ,  1,33         ,33         ,2,20180428,0617, -67.9999,-107.3127,     4248,     64.0,-1.8276298875168341951,33.755175200668617,2,  33.7483,2,345.85963698750970,2, 343.7989,2,    347.9,2,     42.9,2,    26.54,2,     0.19,2,     1.87,2,    6.428,2,    3.344,2,   3.5500,2,   2171.1,2,  2283.92,2,   7.6563,2,    25.16,     43.6,2,     -999,9,  -1.8264,2,     -999,9,     -999,9,     -999,     -999,9,    28.60,2,     -999,1,     -999,9,    0.267,1,    4.545,1,    0.242,1,  16.7800,2,     -999,9,20180428,0818, -68.0004,-107.3128,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,96      ,  1,32         ,32         ,2,20180428,0617, -67.9999,-107.3127,     4248,     91.4,-1.3978244172647709131,33.949837732696380,2,  33.9573,2,327.54515259686360,3, 323.4965,2,    321.4,2,     49.2,2,    29.50,2,     0.17,2,     2.04,2,     -999,9,     -999,9,     -999,9,   2189.3,2,  2295.21,2,   7.6198,2,    25.11,     42.9,2,     -999,9,  -1.3942,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.101,1,    4.613,1,    0.182,1,     -999,9,     -999,9,20180428,0818, -68.0004,-107.3128,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,96      ,  1,31         ,31         ,2,20180428,0617, -67.9999,-107.3127,     4248,    115.0,-0.9078725065187259746,34.089400008455989,2,  34.0993,2,299.33323292788145,3, 294.9987,2,    288.9,2,     57.3,2,    31.59,2,     0.11,2,     2.15,2,    4.559,2,    2.401,2,   2.7900,2,   2209.8,2,  2303.02,2,   7.5909,2,    25.15,     -999,9,     -999,9,  -1.0437,3,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.078,1,    4.628,1,    0.162,1,  18.8600,2,     -999,9,20180428,0817, -68.0005,-107.3128,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,96      ,  1,30         ,30         ,2,20180428,0617, -67.9999,-107.3127,     4248,    140.7,0.7258686705640329251,34.309901800379912,2,  34.3031,2,245.56469873966992,3, 243.6011,2,    239.5,2,     63.8,2,    33.87,2,     0.02,2,     2.30,2,    3.244,2,    1.695,2,   1.8500,2,   2234.1,2,  2316.39,2,   7.5596,2,    25.10,     44.0,2,     -999,9,   0.5605,3,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.073,1,    4.636,1,    0.167,1,  21.3200,2,     -999,9,20180428,0816, -68.0005,-107.3127,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,96      ,  1,29         ,29         ,2,20180428,0617, -67.9999,-107.3127,     4248,    186.9,1.5962999174245706691,34.468503963176985,2,  34.4646,2,201.35440687197811,2, 201.8973,2,    199.7,2,     71.8,2,    34.90,2,     0.01,2,     2.35,2,    1.897,2,    1.012,2,   0.9000,2,   2247.5,2,  2328.16,2,   7.5408,2,    25.12,     39.8,2,     -999,9,   1.5587,2,     -999,9,     -999,9,     -999,     -999,9,    36.60,2,     -999,1,     -999,9,    0.069,1,    4.637,1,    0.160,1,  22.4600,2,     -999,9,20180428,0814, -68.0005,-107.3127,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,96      ,  1,28         ,28         ,2,20180428,0617, -67.9999,-107.3127,     4248,    235.7,1.7832065492771940196,34.524405084997611,2,  34.5220,2,191.79847762759991,3, 192.7003,2,    187.3,2,     75.7,2,    34.85,2,     0.00,2,     2.35,2,     -999,9,     -999,9,     -999,9,   2251.8,2,  2333.58,2,   7.5400,2,    25.14,     40.2,2,     -999,9,   1.8075,2,     -999,9,     -999,9,     -999,     -999,9,    36.80,2,     -999,1,     -999,9,    0.066,1,    4.638,1,    0.147,1,     -999,9,     -999,9,20180428,0813, -68.0005,-107.3126,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,96      ,  1,27         ,27         ,2,20180428,0617, -67.9999,-107.3127,     4248,    285.8,1.8429632770557016208,34.577327987515723,2,  34.5740,2,183.43124009631165,3, 184.5971,2,    180.8,2,     79.3,2,    34.54,2,     0.00,2,     2.35,2,    1.008,2,    0.532,2,   0.3300,2,   2256.4,2,  2336.19,2,   7.5418,2,    25.16,     45.6,2,     -999,9,   1.8291,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.063,1,    4.643,1,    0.143,1,  23.1200,2,     -999,9,20180428,0812, -68.0006,-107.3124,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,96      ,  1,26         ,38         ,2,20180428,0617, -67.9999,-107.3127,     4248,    336.7,1.8645478126951533504,34.613633148227500,2,  34.6115,2,176.91647217003828,2, 180.3995,2,    176.9,2,     82.4,2,    34.30,2,     0.00,2,     2.32,2,    0.788,2,    0.423,2,   0.2300,2,   2256.1,2,  2338.25,2,   7.5436,2,    25.18,     44.5,2,     -999,9,   1.8554,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.062,1,    4.645,1,    0.141,1,  22.8100,2,     -999,9,20180428,0811, -68.0008,-107.3122,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,96      ,  1,25         ,25         ,2,20180428,0617, -67.9999,-107.3127,     4248,    387.6,1.9958710930037246722,34.659240337512294,2,  34.6554,2,174.87703258895212,2, 177.4057,2,    174.9,2,     84.1,2,    33.75,2,     0.00,2,     2.28,2,    0.515,2,    0.268,2,   0.3600,2,   2259.4,6,  2342.18,2,   7.5545,2,    25.18,     43.3,2,     -999,9,   1.9885,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.062,1,    4.646,1,    0.140,1,  22.3600,2,     -999,9,20180428,0810, -68.0010,-107.3120,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,96      ,  1,24         ,24         ,2,20180428,0617, -67.9999,-107.3127,     4248,    438.2,1.9926913924710438764,34.676641868520797,2,  34.6737,2,176.16185107783267,2, 177.8969,2,    176.6,2,     85.5,2,    33.39,2,     0.00,2,     2.25,2,    0.423,2,    0.223,2,   0.1900,2,   2259.8,2,  2345.77,2,   7.5603,6,    25.18,     -999,9,     -999,9,   1.9934,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.062,1,    4.648,1,    0.137,1,  21.5200,2,     -999,9,20180428,0809, -68.0011,-107.3118,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,96      ,  1,23         ,23         ,2,20180428,0617, -67.9999,-107.3127,     4248,    489.1,1.9786866103849862775,34.691229679874226,2,  34.6874,2,176.61993269134044,2, 178.5014,2,    177.2,2,     87.1,2,    33.09,2,     0.00,2,     2.23,2,    0.359,2,    0.188,2,   0.0200,2,   2258.0,2,  2345.64,2,   7.5640,2,    25.20,     42.4,2,     -999,9,   1.9809,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.062,1,    4.647,1,    0.141,1,  21.4100,2,     -999,9,20180428,0808, -68.0013,-107.3116,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,96      ,  1,22         ,37         ,2,20180428,0617, -67.9999,-107.3127,     4248,    572.3,1.9323345202701711631,34.707962900382860,2,  34.7045,2,179.23138918682480,2, 180.5922,2,    179.9,2,     88.4,2,    32.68,2,     0.00,2,     2.22,2,    0.294,2,    0.155,2,   0.0700,2,   2255.7,2,  2349.98,2,   7.5725,2,    25.21,     42.4,2,     -999,9,   1.9324,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.062,1,    4.645,1,    0.141,1,  20.7900,2,     -999,9,20180428,0806, -68.0014,-107.3114,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,96      ,  1,21         ,21         ,2,20180428,0617, -67.9999,-107.3127,     4248,    673.7,1.8703323244421306004,34.718311812742797,2,  34.7149,2,183.44210873144559,2, 183.4001,2,    182.8,2,     91.3,2,    32.38,2,     0.00,2,     2.20,2,    0.245,2,    0.128,2,   0.1600,2,   2254.6,2,  2350.72,2,   7.5791,2,    25.19,     45.4,2,     -999,9,   1.8703,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.063,1,    4.647,1,    0.135,1,  20.7400,2,     -999,9,20180428,0803, -68.0013,-107.3113,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,96      ,  1,20         ,20         ,2,20180428,0617, -67.9999,-107.3127,     4248,    773.8,1.7985627066225904347,34.725965129743287,2,  34.7227,2,186.36414830532991,2, 186.1034,2,    186.7,2,     92.4,2,    32.06,2,     0.00,2,     2.18,2,     -999,9,     -999,9,     -999,9,   2257.1,2,  2351.65,2,   7.5871,2,    25.19,     40.1,2,     -999,9,   1.7985,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.062,1,    4.647,1,    0.137,1,     -999,9,     -999,9,20180428,0759, -68.0009,-107.3113,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,96      ,  1,19         ,19         ,2,20180428,0617, -67.9999,-107.3127,     4248,    872.8,1.7019979065997981049,34.730317383018622,2,  34.7276,2,187.81683040475104,2, 188.0989,2,    188.1,2,     95.6,2,    32.01,2,     0.00,2,     2.18,2,    0.191,2,    0.103,2,   0.0500,2,   2254.8,2,  2353.66,2,   7.5905,2,    25.18,     42.8,2,     -999,9,   1.7014,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.061,1,    4.647,1,    0.137,1,  20.5700,2,     -999,9,20180428,0756, -68.0006,-107.3117,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,96      ,  1,18         ,18         ,2,20180428,0617, -67.9999,-107.3127,     4248,    978.8,1.6030392033690725739,34.732521077376511,2,  34.7298,2,190.32158565871995,2, 190.4006,2,    191.0,2,     98.0,2,    31.86,2,     0.00,2,     2.16,2,     -999,9,     -999,9,     -999,9,   2256.7,2,  2355.44,2,   7.5932,2,    25.19,     42.8,2,     -999,9,   1.6028,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.061,1,    4.649,1,    0.134,1,     -999,9,     -999,9,20180428,0753, -68.0001,-107.3123,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,96      ,  1,17         ,17         ,2,20180428,0617, -67.9999,-107.3127,     4248,   1077.8,1.5133899655188569611,34.732047545264493,2,  34.7298,2,191.61603917664323,2, 192.0987,2,    191.8,2,    101.0,2,    31.91,2,     0.00,2,     2.19,2,    0.158,2,    0.089,2,   0.0700,2,   2257.4,2,  2358.60,2,   7.5920,2,    25.19,     39.3,2,     -999,9,   1.5140,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.061,1,    4.650,1,    0.136,1,  19.9300,2,     -999,9,20180428,0750, -67.9998,-107.3128,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,96      ,  1,16         ,16         ,2,20180428,0617, -67.9999,-107.3127,     4248,   1180.5,1.4320879450973547087,34.731157905941267,2,  34.7282,2,192.93786387320213,2, 193.5009,2,    193.4,2,    104.0,2,    31.94,2,     0.00,2,     2.19,2,     -999,9,     -999,9,     -999,9,   2257.8,2,  2358.43,2,   7.5969,2,    25.16,     42.7,2,     -999,9,   1.4317,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.061,1,    4.650,1,    0.132,1,     -999,9,     -999,9,20180428,0747, -67.9996,-107.3132,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
